City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,melfort,52.8667,-104.6177,20.07,17,99,6.69,CA,1713988633
340,port hedland,-20.3167,118.5667,25.03,38,100,2.57,AU,1713988634
341,aur,8.1499,171.1687,27.81,81,99,10.52,MH,1713988634
342,al kharijah,25.4514,30.5464,30.46,9,44,2.25,EG,1713988634
343,kirakira,-10.4544,161.9205,27.39,86,74,1.26,SB,1713988634
344,sheridan,44.8333,-106.9173,22.95,20,0,2.68,US,1713988611
345,kapuskasing,49.4169,-82.4331,-1.95,34,0,2.06,CA,1713988634
346,sisimiut,66.9395,-53.6735,1.94,83,100,11.76,GL,1713988634
347,la passe,45.5549,-0.8967,12.21,76,100,4.98,FR,1713988634
348,krasnozerskoye,53.9828,79.2374,-2.05,66,10,2.57,RU,1713988634
349,raduzhnyy,62.0961,77.475,-6.14,95,100,2.24,RU,1713988634
350,nivala,63.9167,24.9667,0.94,99,62,2.13,FI,1713988634
351,palmer,42.1584,-72.3287,19.65,42,100,5.66,US,1713988483
352,codrington,-38.2667,141.9667,13.21,70,92,6.75,AU,1713988635
353,lethem,3.3803,-59.7968,32.35,53,99,4.3,GY,1713988635
354,puerto gaitan,4.3133,-72.0816,32.13,57,97,3.42,CO,1713988635
355,vilyuchinsk,52.9306,158.4028,3.15,58,100,5.42,RU,1713988635
356,sabirabad,40.0095,48.4752,15.76,49,96,2.89,AZ,1713988635
357,palikir - national government center,6.9248,158.1611,25.41,100,100,1.54,FM,1713988635
358,st. john's,47.5649,-52.7093,7.04,96,100,6.17,CA,1713988425
359,tofol,5.3248,163.0078,28.54,78,45,5.75,FM,1713988635
360,iquitos,-3.7481,-73.2472,32.02,70,75,1.03,PE,1713988070
